Date,Name,Year,Letterboxd URI
2019-11-11,Robin Hood,2018,https://boxd.it/d3bc
2019-11-23,Frozen II,2019,https://boxd.it/aPvo
2020-01-26,Parasite,2019,https://boxd.it/hTha
2020-02-10,Knives Out,2019,https://boxd.it/jWEA
2020-03-02,Charlie's Angels,2019,https://boxd.it/gogo
2020-05-26,The Half of It,2020,https://boxd.it/m0T4
2020-05-26,Back Street Girls: Gokudols,2019,https://boxd.it/l1fW
2020-06-01,Shazam!,2019,https://boxd.it/8WBu
2020-06-14,Little Women,2019,https://boxd.it/aSVk
2020-06-22,Good Boys,2019,https://boxd.it/iW1G
2020-06-28,Paprika,2006,https://boxd.it/23wW
2020-08-22,Mellow,2020,https://boxd.it/pjDK
2020-08-22,Revue Starlight: Rondo Rondo Rondo,2020,https://boxd.it/nYAo
2020-08-30,Booksmart,2019,https://boxd.it/igNS
2020-09-21,Tenet,2020,https://boxd.it/leq4
2020-10-01,Searching,2018,https://boxd.it/hDPg
2020-10-04,Enola Holmes,2020,https://boxd.it/hX2o
2020-10-10,The Theory of Everything,2014,https://boxd.it/7YtA
2020-10-17,"Kim Ji-young, Born 1982",2019,https://boxd.it/lyGw
2020-10-25,Demon Slayer – Kimetsu no Yaiba – The Movie: Mugen Train,2020,https://boxd.it/nyLU
2020-12-31,MOTHER,2020,https://boxd.it/q7mE
2020-12-31,The Promised Neverland,2020,https://boxd.it/nwzs
2020-12-31,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY
2021-01-01,Your Name Engraved Herein,2020,https://boxd.it/qWwA
2021-01-17,The Boys in the Band,2020,https://boxd.it/m176
2021-01-17,Shoplifters,2018,https://boxd.it/ifY6
2021-02-01,Interstellar,2014,https://boxd.it/4VZ8
2021-02-06,Inside Out,2015,https://boxd.it/4KHC
2021-02-13,Ralph Breaks the Internet,2018,https://boxd.it/edAy
2021-02-14,Shutter Island,2010,https://boxd.it/1U82
2021-02-20,Helter Skelter,2012,https://boxd.it/3ybW
2021-03-27,Nomadland,2020,https://boxd.it/lnRy
2021-04-07,Monster Hunter,2020,https://boxd.it/gnB6
2021-04-22,Freaky,2020,https://boxd.it/ka42
2021-05-21,The Wolf of Wall Street,2013,https://boxd.it/3C1m
2021-06-06,Kakegurui 2: Ultimate Russian Roulette,2021,https://boxd.it/rRO2
2021-06-12,Hotel Mumbai,2018,https://boxd.it/eGGg
2021-06-13,Revue Starlight: The Movie,2021,https://boxd.it/nYyC
2021-06-26,The Confidence Man JP - The Movie -,2019,https://boxd.it/kif8
2021-07-18,Coco,2017,https://boxd.it/bYJQ
2021-07-22,Suicide Squad,2016,https://boxd.it/9row
2021-07-23,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/hSyO
2021-07-25,The Girl Who Leapt Through Time,2006,https://boxd.it/1OPa
2021-07-31,Detention,2019,https://boxd.it/mHII
2021-08-29,Mirai,2018,https://boxd.it/h2Hu
2021-09-12,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI
2021-09-30,Crayon Shin-chan: My Moving Story! Cactus Large Attack!,2015,https://boxd.it/cSEM
2021-10-01,Crayon Shin-chan: Honeymoon Hurricane ~The Lost Hiroshi~,2019,https://boxd.it/lYsA
2021-10-14,Roald Dahl's The Witches,2020,https://boxd.it/jk0C
2021-10-15,Call Me by Your Name,2017,https://boxd.it/dYmm
2021-10-15,John Wick: Chapter 3 - Parabellum,2019,https://boxd.it/gmFw
2021-10-16,Raya and the Last Dragon,2021,https://boxd.it/jbkI
2021-10-20,The Secret Life of Pets 2,2019,https://boxd.it/ewPM
2021-11-19,Thunder Force,2021,https://boxd.it/mLsE
2021-12-13,Red Notice,2021,https://boxd.it/ixtq
2021-12-29,The King's Man,2021,https://boxd.it/h714
2021-12-30,The Adventures of Tintin,2011,https://boxd.it/1Irc
2022-01-02,Sing,2016,https://boxd.it/b5EQ
2022-01-09,Spider-Man: No Way Home,2021,https://boxd.it/nwRw
2022-01-21,Don't Look Up,2021,https://boxd.it/o0Hc
2022-02-19,Uncharted,2022,https://boxd.it/b5Dy
2022-03-19,Death on the Nile,2022,https://boxd.it/ifpg
2022-03-27,Gunpowder Milkshake,2021,https://boxd.it/l5fQ
2022-03-31,Ip Man,2008,https://boxd.it/1NrQ
2022-04-04,Ip Man 2,2010,https://boxd.it/18gs
2022-04-05,Identity,2003,https://boxd.it/26e2
2022-04-07,Dear Ex,2018,https://boxd.it/j1XK
2022-04-10,Fantastic Beasts: The Secrets of Dumbledore,2022,https://boxd.it/bg8Q
2022-04-15,Memoirs of a Murderer,2017,https://boxd.it/g32A
2022-04-21,Confessions,2010,https://boxd.it/uRS
2022-04-28,Stolen Identity,2018,https://boxd.it/jAmY
2022-05-06,Star Trek Beyond,2016,https://boxd.it/5Ik4
2022-05-07,Masquerade Hotel,2019,https://boxd.it/kidw
2022-05-07,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/gaTc
2022-05-08,The Danish Girl,2015,https://boxd.it/9Ohy
2022-05-08,Star Trek Into Darkness,2013,https://boxd.it/uYE
2022-05-13,Star Trek,2009,https://boxd.it/1Q6c
2022-05-14,The Devil All the Time,2020,https://boxd.it/i2tY
2022-05-14,The Terminal,2004,https://boxd.it/2a2O
2022-05-15,The King,2019,https://boxd.it/ieZs
2022-05-15,Senior Year,2022,https://boxd.it/u8C2
2022-05-16,The Power of the Dog,2021,https://boxd.it/m99E
2022-05-22,Guns Akimbo,2019,https://boxd.it/gkFu
2022-05-24,Puella Magi Madoka Magica the Movie Part III: Rebellion,2013,https://boxd.it/6kx6
2022-06-07,Gravity,2013,https://boxd.it/GZY
2022-06-11,Top Gun: Maverick,2022,https://boxd.it/cjr4
2022-07-01,Oblivion,2013,https://boxd.it/2Bzq
2022-07-17,Thor: Love and Thunder,2022,https://boxd.it/mMAY
2022-07-26,Minions: The Rise of Gru,2022,https://boxd.it/fz9w
2022-07-31,Dune,2021,https://boxd.it/fA7G
2022-08-06,Minion,2019,https://boxd.it/rEu4
2022-08-06,Minions,2015,https://boxd.it/6jCO
